Bundesland,cash,relativ_cash,Belege
Berlin,109958.75,36.43180596430166,4274
Brandenburg,93372.7,30.936474712225717,3143
Nordrhein-Westfalen,15380.7,5.0959716984335905,719
Niedersachsen,11964.95,3.964256930645093,475
Bayern,9622.45,3.188134016630732,456
Baden-Württemberg,8672,2.8732285636424932,383
Sachsen,7770.5,2.574541346146678,340
Sachsen-Anhalt,5585,1.8504360618015827,226
Hessen,5455,1.8073641391455029,254
Hamburg,4860.5,1.61039292361443,219
Mecklenburg-Vorpommern,4171,1.3819460722962222,172
Schleswig-Holstein,3729,1.235501535265551,180
Thüringen,2958.5,0.9802175629077855,117
Rheinland-Pfalz,1760.5,0.5832932295079116,90
Bremen,857,0.28394336704815687,44
Saarland,464.5,0.15389929287499285,20
